Station name,Station number,Date,Radiation type,05-06 LST(W•h/m²),06-07 LST(W•h/m²),07-08 LST(W•h/m²),08-09 LST(W•h/m²),09-10 LST(W•h/m²),10-11 LST(W•h/m²),11-12 LST(W•h/m²),12-13 LST(W•h/m²),13-14 LST(W•h/m²),14-15 LST(W•h/m²),15-16 LST(W•h/m²),16-17 LST(W•h/m²),17-18 LST(W•h/m²),18-19 LST(W•h/m²)
"Haifa, Technion",850,22/07/2019,Global,81,284,513,706,862,973,1019,1009,934,797,617,402,153,15
"Haifa, Technion",850,23/07/2019,Global,64,132,426,697,858,965,1026,1017,941,802,622,406,173,13
"Haifa, Technion",850,24/07/2019,Global,94,299,507,711,865,980,1033,1021,943,810,626,411,173,13
"Haifa, Technion",850,25/07/2019,Global,81,286,436,710,866,964,1011,1012,941,803,618,399,165,13
"Haifa, Technion",850,26/07/2019,Global,82,285,503,694,852,966,1016,1003,923,781,601,387,137,15
"Haifa, Technion",850,27/07/2019,Global,76,272,488,693,848,955,1005,995,919,750,560,257,83,12
"Haifa, Technion",850,28/07/2019,Global,85,281,511,701,858,961,1006,999,915,670,544,274,111,15
"Haifa, Technion",850,29/07/2019,Global,81,275,495,696,857,959,1010,998,923,788,606,389,153,11
"Haifa, Technion",850,30/07/2019,Global,82,272,489,687,849,962,1027,1014,933,797,604,390,152,11
"Haifa, Technion",850,31/07/2019,Global,77,263,476,674,830,939,983,970,892,764,583,371,144,13
"Haifa, Technion",850,01/08/2019,Global,33,256,436,655,836,943,996,981,905,768,589,361,105,10
"Haifa, Technion",850,02/08/2019,Global,44,189,395,534,700,736,845,769,554,479,329,209,102,11
"Haifa, Technion",850,03/08/2019,Global,64,255,427,561,782,993,911,829,734,590,455,312,104,11
"Haifa, Technion",850,04/08/2019,Global,52,203,485,677,825,937,983,967,893,754,454,235,87,11
"Haifa, Technion",850,05/08/2019,Global,43,232,477,678,709,944,1004,971,900,759,572,299,107,13
"Haifa, Technion",850,06/08/2019,Global,54,258,313,533,741,932,1008,992,917,725,587,298,78,9
"Haifa, Technion",850,07/08/2019,Global,41,135,345,588,805,940,988,970,736,581,486,364,124,8
"Haifa, Technion",850,08/08/2019,Global,37,193,474,678,848,982,950,832,805,667,412,218,94,8
"Haifa, Technion",850,09/08/2019,Global,48,222,492,702,857,968,1020,1010,933,733,558,288,85,7
"Haifa, Technion",850,10/08/2019,Global,50,212,274,676,843,975,1031,1005,926,767,549,334,90,7
"Haifa, Technion",850,11/08/2019,Global,43,239,442,681,843,958,1007,981,895,662,499,243,89,7
"Haifa, Technion",850,12/08/2019,Global,50,248,469,668,829,939,988,973,893,758,576,354,86,7
"Haifa, Technion",850,13/08/2019,Global,50,233,448,646,805,912,963,947,862,729,544,326,101,6
"Haifa, Technion",850,14/08/2019,Global,42,134,227,637,795,905,957,948,874,741,528,258,68,6
"Haifa, Technion",850,15/08/2019,Global,41,230,456,613,818,901,690,657,819,729,550,339,96,4
"Haifa, Technion",850,16/08/2019,Global,51,235,453,651,802,906,958,948,871,736,548,337,97,4
"Haifa, Technion",850,17/08/2019,Global,36,223,397,412,661,755,1007,739,671,604,471,258,82,4
"Haifa, Technion",850,18/08/2019,Global,49,211,325,643,857,952,987,977,861,724,336,187,49,4
"Haifa, Technion",850,19/08/2019,Global,49,229,411,593,637,910,987,975,895,728,506,323,87,3
"Haifa, Technion",850,20/08/2019,Global,48,229,419,651,811,939,960,777,756,565,457,213,81,3
"Haifa, Technion",850,21/08/2019,Global,30,198,335,599,822,931,948,941,839,737,543,325,81,3
"Haifa, Technion",850,22/08/2019,Global,33,212,447,643,805,921,971,952,873,729,538,331,82,3
"Haifa, Technion",850,23/08/2019,Global,43,215,428,631,792,897,944,929,844,703,514,300,74,3
