Station,Date,Time- LST,Light intensity (W/m²),Light intensity (umol photons/s/m²),,
Beit Dagan,08/06/2020,12:00,991,4528.87,,
Beit Dagan,08/06/2020,12:10,987,4510.59,,
Beit Dagan,08/06/2020,12:20,987,4510.59,,
Beit Dagan,08/06/2020,12:30,977,4464.89,,
Beit Dagan,08/06/2020,12:40,971,4437.47,,
Beit Dagan,08/06/2020,12:50,960,4387.2,,
Beit Dagan,08/06/2020,13:00,943,4309.51,,
Beit Dagan,08/06/2020,13:10,928,4240.96,,
Beit Dagan,08/06/2020,13:20,915,4181.55,,
Beit Dagan,08/06/2020,13:30,895,4090.15,,
Beit Dagan,08/06/2020,13:40,879,4017.03,,
Beit Dagan,08/06/2020,13:50,858,3921.06,,
Beit Dagan,08/06/2020,14:00,840,3838.8,,
Beit Dagan,08/06/2020,14:10,819,3742.83,,
Beit Dagan,08/06/2020,14:20,798,3646.86,,
Beit Dagan,08/06/2020,14:30,774,3537.18,,
Beit Dagan,08/06/2020,14:40,749,3422.93,,
Beit Dagan,08/06/2020,14:50,723,3304.11,,
Beit Dagan,08/06/2020,15:00,691,3157.87,,
Beit Dagan,08/06/2020,15:10,661,3020.77,,
Beit Dagan,08/06/2020,15:20,634,2897.38,,
Beit Dagan,08/06/2020,15:30,600,2742,,
Beit Dagan,08/06/2020,15:40,568,2595.76,,
Beit Dagan,08/06/2020,15:50,534,2440.38,,
Beit Dagan,08/06/2020,16:00,501,2289.57,,
Beit Dagan,08/06/2020,16:10,470,2147.9,,
Beit Dagan,08/06/2020,16:20,435,1987.95,,
Beit Dagan,08/06/2020,16:30,400,1828,,
Beit Dagan,08/06/2020,16:40,365,1668.05,,
Beit Dagan,08/06/2020,16:50,329,1503.53,,
Beit Dagan,08/06/2020,17:00,295,1348.15,,
Beit Dagan,08/06/2020,17:10,260,1188.2,,
Beit Dagan,08/06/2020,17:20,225,1028.25,,
Beit Dagan,08/06/2020,17:30,191,872.87,,
Beit Dagan,08/06/2020,17:40,158,722.06,,
Beit Dagan,08/06/2020,17:50,122,557.54,,
Beit Dagan,08/06/2020,18:00,93,425.01,,
Beit Dagan,08/06/2020,18:10,66,301.62,,
Beit Dagan,08/06/2020,18:20,40,182.8,,
Beit Dagan,08/06/2020,18:30,22,100.54,,
Beit Dagan,08/06/2020,18:40,10,45.7,,
Beit Dagan,08/06/2020,18:50,0,0,,
Beit Dagan,08/06/2020,19:00,0,0,,
Beit Dagan,08/06/2020,19:10,0,0,,
Beit Dagan,08/06/2020,19:20,0,0,,
Beit Dagan,08/06/2020,19:30,0,0,,
Beit Dagan,08/06/2020,19:40,0,0,,
Beit Dagan,08/06/2020,19:50,0,0,,
Beit Dagan,08/06/2020,20:00,0,0,,
Beit Dagan,08/06/2020,20:10,0,0,,
Beit Dagan,08/06/2020,20:20,0,0,,
Beit Dagan,08/06/2020,20:30,0,0,,
Beit Dagan,08/06/2020,20:40,0,0,,
Beit Dagan,08/06/2020,20:50,0,0,,
Beit Dagan,08/06/2020,21:00,0,0,,
Beit Dagan,08/06/2020,21:10,0,0,,
Beit Dagan,08/06/2020,21:20,0,0,,
Beit Dagan,08/06/2020,21:30,0,0,,
Beit Dagan,08/06/2020,21:40,0,0,,
Beit Dagan,08/06/2020,21:50,0,0,,
Beit Dagan,08/06/2020,22:00,0,0,,
Beit Dagan,08/06/2020,22:10,0,0,,
Beit Dagan,08/06/2020,22:20,0,0,,
Beit Dagan,08/06/2020,22:30,0,0,,
Beit Dagan,08/06/2020,22:40,0,0,,
Beit Dagan,08/06/2020,22:50,0,0,,
Beit Dagan,08/06/2020,23:00,0,0,,
Beit Dagan,08/06/2020,23:10,0,0,,
Beit Dagan,08/06/2020,23:20,0,0,,
Beit Dagan,08/06/2020,23:30,0,0,,
Beit Dagan,08/06/2020,23:40,0,0,,
Beit Dagan,08/06/2020,23:50,0,0,,
Beit Dagan,09/06/2020,0:00,0,0,,
Beit Dagan,09/06/2020,0:10,0,0,,
Beit Dagan,09/06/2020,0:20,0,0,,
Beit Dagan,09/06/2020,0:30,0,0,,
Beit Dagan,09/06/2020,0:40,0,0,,
Beit Dagan,09/06/2020,0:50,0,0,,
Beit Dagan,09/06/2020,1:00,0,0,,
Beit Dagan,09/06/2020,1:10,0,0,,
Beit Dagan,09/06/2020,1:20,0,0,,
Beit Dagan,09/06/2020,1:30,0,0,,
Beit Dagan,09/06/2020,1:40,0,0,,
