Station,Date,Time- LST,Temperature (C°)
Tel Aviv Coast,08/06/2020,12:00,26.5
Tel Aviv Coast,08/06/2020,12:10,26.5
Tel Aviv Coast,08/06/2020,12:20,26.4
Tel Aviv Coast,08/06/2020,12:30,26
Tel Aviv Coast,08/06/2020,12:40,25.2
Tel Aviv Coast,08/06/2020,12:50,24.7
Tel Aviv Coast,08/06/2020,13:00,24.8
Tel Aviv Coast,08/06/2020,13:10,24.7
Tel Aviv Coast,08/06/2020,13:20,24.8
Tel Aviv Coast,08/06/2020,13:30,24.7
Tel Aviv Coast,08/06/2020,13:40,24.9
Tel Aviv Coast,08/06/2020,13:50,25.4
Tel Aviv Coast,08/06/2020,14:00,25.5
Tel Aviv Coast,08/06/2020,14:10,24.9
Tel Aviv Coast,08/06/2020,14:20,25
Tel Aviv Coast,08/06/2020,14:30,25
Tel Aviv Coast,08/06/2020,14:40,24.9
Tel Aviv Coast,08/06/2020,14:50,24.9
Tel Aviv Coast,08/06/2020,15:00,25.1
Tel Aviv Coast,08/06/2020,15:10,25.3
Tel Aviv Coast,08/06/2020,15:20,25.7
Tel Aviv Coast,08/06/2020,15:30,25.8
Tel Aviv Coast,08/06/2020,15:40,25.4
Tel Aviv Coast,08/06/2020,15:50,25.2
Tel Aviv Coast,08/06/2020,16:00,24.7
Tel Aviv Coast,08/06/2020,16:10,24.7
Tel Aviv Coast,08/06/2020,16:20,24.5
Tel Aviv Coast,08/06/2020,16:30,24.4
Tel Aviv Coast,08/06/2020,16:40,24.5
Tel Aviv Coast,08/06/2020,16:50,24.6
Tel Aviv Coast,08/06/2020,17:00,24.5
Tel Aviv Coast,08/06/2020,17:10,24.7
Tel Aviv Coast,08/06/2020,17:20,24.5
Tel Aviv Coast,08/06/2020,17:30,24.5
Tel Aviv Coast,08/06/2020,17:40,24.4
Tel Aviv Coast,08/06/2020,17:50,24.2
Tel Aviv Coast,08/06/2020,18:00,24.1
Tel Aviv Coast,08/06/2020,18:10,24.1
Tel Aviv Coast,08/06/2020,18:20,24
Tel Aviv Coast,08/06/2020,18:30,24
Tel Aviv Coast,08/06/2020,18:40,23.9
Tel Aviv Coast,08/06/2020,18:50,23.9
Tel Aviv Coast,08/06/2020,19:00,23.9
Tel Aviv Coast,08/06/2020,19:10,23.9
Tel Aviv Coast,08/06/2020,19:20,23.7
Tel Aviv Coast,08/06/2020,19:30,23.6
Tel Aviv Coast,08/06/2020,19:40,23.5
Tel Aviv Coast,08/06/2020,19:50,23.5
Tel Aviv Coast,08/06/2020,20:00,23.3
Tel Aviv Coast,08/06/2020,20:10,23.3
Tel Aviv Coast,08/06/2020,20:20,23.3
Tel Aviv Coast,08/06/2020,20:30,23.3
